City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Mehamn,NO,71.0357,27.8492,48.11,83,82,9.64,broken clouds
314,Christchurch,NZ,-43.5333,172.6333,37.94,84,3,4.61,clear sky
315,Pangnirtung,CA,66.1451,-65.7125,32.0,74,40,2.3,scattered clouds
316,Vryburg,ZA,-26.9566,24.7284,79.36,16,79,10.09,broken clouds
317,Marzuq,YE,14.4,46.4667,81.14,31,8,2.86,clear sky
318,Hailar,CN,49.2,119.7,46.29,59,94,8.68,overcast clouds
319,Tadine,NC,-21.55,167.8833,66.2,73,1,7.85,clear sky
320,Rocha,UY,-34.4833,-54.3333,68.5,66,26,10.2,scattered clouds
321,Illapel,CL,-31.6308,-71.1653,81.64,22,0,8.12,clear sky
322,Los Alamos,US,35.8881,-106.307,65.05,56,40,3.0,scattered clouds
323,Batemans Bay,AU,-35.7167,150.1833,49.19,73,59,3.24,broken clouds
324,Breves,BR,-1.6822,-50.4803,94.78,41,14,5.32,few clouds
325,Yerraguntla,IN,14.6372,78.5395,77.79,69,100,10.2,overcast clouds
326,Pokosnoye,RU,55.5258,101.0536,32.18,91,90,8.43,overcast clouds
327,Staryy Nadym,RU,65.6118,72.6842,33.62,71,4,1.66,clear sky
328,Sitka,US,57.0531,-135.33,47.79,92,100,3.53,moderate rain
329,Omsukchan,RU,62.5333,155.8,29.46,93,100,2.93,overcast clouds
330,Carutapera,BR,-1.195,-46.02,86.61,60,64,10.71,broken clouds
331,Huacho,PE,-11.1067,-77.605,67.86,69,51,9.37,broken clouds
332,Whitehorse,CA,60.7161,-135.0538,32.81,100,90,5.01,light snow
333,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,81,79,9.26,broken clouds
334,Bisira,PA,8.5196,-81.7115,69.4,78,90,1.9,overcast clouds
335,Cidreira,BR,-30.1811,-50.2056,71.92,76,5,9.71,clear sky
336,Kuching,MY,1.55,110.3333,77.22,94,20,0.0,few clouds
337,Kolondieba,ML,11.0882,-6.8926,88.41,56,63,2.35,broken clouds
338,Simplicio Mendes,BR,-7.8539,-41.9103,100.67,20,27,8.41,scattered clouds
339,Kununurra,AU,-15.7667,128.7333,73.38,78,92,4.61,overcast clouds
340,Tucurui,BR,-3.7661,-49.6725,91.72,43,44,3.71,scattered clouds
341,Watertown,US,42.3709,-71.1828,73.49,59,59,1.99,broken clouds
342,Akureyri,IS,65.6835,-18.0878,44.53,45,20,4.61,few clouds
343,Salinopolis,BR,-0.6136,-47.3561,85.39,64,12,12.46,few clouds
344,Nalut,LY,30.3333,10.85,89.1,16,0,8.79,clear sky
345,Baykit,RU,61.67,96.37,36.28,81,100,7.58,overcast clouds
346,Torres,BR,-29.3353,-49.7269,91.83,72,0,11.16,clear sky
347,Kampene,CD,-3.6,26.6667,71.65,87,92,7.14,light rain
348,Payson,US,40.0444,-111.7321,80.02,29,0,4.0,clear sky
349,Lucapa,AO,-8.4192,20.7447,74.17,61,66,4.63,light rain
350,Matagami,CA,49.7502,-77.6328,48.31,87,90,12.66,overcast clouds
351,San Andres,CO,12.5847,-81.7006,87.82,70,75,12.66,broken clouds
352,Sterling,US,39.0062,-77.4286,80.28,48,1,11.99,clear sky
353,Havelock,US,34.8791,-76.9013,82.06,49,5,4.0,clear sky
354,Knysna,ZA,-34.0363,23.0471,57.58,89,91,7.16,light rain
355,Mangan,IN,27.5167,88.5333,74.5,78,93,3.47,overcast clouds
356,Teguise,ES,29.0605,-13.564,73.62,73,20,21.85,few clouds
357,Mackay,AU,-21.15,149.2,71.58,78,40,14.97,scattered clouds
358,Hualmay,PE,-11.0964,-77.6139,67.51,70,52,9.35,broken clouds
359,Reconquista,AR,-29.15,-59.65,93.51,20,5,5.88,clear sky
360,Ciudad Bolivar,VE,8.1222,-63.5497,94.32,44,10,4.32,clear sky
361,Kristiansund,NO,63.1115,7.732,66.85,48,0,16.11,clear sky
